,actor,actress,art_direction,cinematography,costume,director,editing,effects,music,other,picture,s_actor,s_actress,screenplay,song,sound,year
The Weather Underground,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2003
Chernobyl Heart,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2003
Asylum,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2003
Ferry Tales,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2003
Two Soldiers,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2003
Die Rote Jacke (The Red Jacket),O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2003
Most (The Bridge),O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2003
Squash,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2003
(A) Torzija [(A) Torsion],O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2003
Harvie Krumpet,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2003
Boundin',O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2003
Destino,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2003
Gone Nutty,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2003
Nibbles,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2003
Big Fish,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,2003
A Mighty Wind,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,2003
Girl with a Pearl Earring,O,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,2003
Million Dollar Baby,N,W,O,O,O,W,N,O,O,O,W,W,O,N,O,O,2004
The Aviator,N,O,W,W,W,N,W,O,O,O,N,N,W,N,O,N,2004
Finding Neverland,N,O,N,O,N,O,N,O,W,O,N,O,O,N,O,O,2004
Ray,W,O,O,O,N,N,N,O,O,O,N,O,O,O,O,W,2004
Sideways,O,O,O,O,O,N,O,O,O,O,N,N,N,W,O,O,2004
Vera Drake,O,N,O,O,O,N,O,O,O,O,O,O,O,N,O,O,2004
Hotel Rwanda,N,O,O,O,O,O,O,O,O,O,O,O,N,N,O,O,2004
Being Julia,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2004
Maria Full of Grace,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2004
Eternal Sunshine of the Spotless Mind,O,N,O,O,O,O,O,O,O,O,O,O,O,W,O,O,2004
Collateral,O,O,O,O,O,O,N,O,O,O,O,N,O,O,O,O,2004
Closer,O,O,O,O,O,O,O,O,O,O,O,N,N,O,O,O,2004
Kinsey,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,2004
The Incredibles,O,O,O,O,O,O,W,O,O,W,O,O,O,N,O,N,2004
Before Sunset,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,2004
The Motorcycle Diaries,O,O,O,O,O,O,O,O,O,O,O,O,O,N,W,O,2004
Shark Tale,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Shrek 2,O,O,O,O,O,O,O,O,O,N,O,O,O,O,N,O,2004
The Sea Inside,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
As It Is in Heaven,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
The Chorus,O,O,O,O,O,O,O,O,O,N,O,O,O,O,N,O,2004
Downfall,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Yesterday,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Born into Brothels: Calcutta's Red Light Kids,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2004
The Story of the Weeping Camel,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Super Size Me,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Tupac: Resurrection,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Twist of Faith,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Mighty Times: The Children's March,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2004
Autism Is a World,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
The Children of Leningradsky,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Hardwood,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Sister Rose's Passion,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Wasp,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2004
7:35 in the Morning,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Everything in This Country Must,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Little Terrorist,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
"Two Cars, One Night",O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Ryan,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2004
Birthday Boy,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Gopher Broke,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Guard Dog,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Lorenzo,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2004
Harry Potter and the Prisoner of Azkaban,O,O,O,O,O,O,O,N,N,O,O,O,O,O,O,O,2004
Lemony Snicket's A Series of Unfortunate Events,O,O,N,O,N,O,O,O,N,W,O,O,O,O,O,O,2004
The Passion of the Christ,O,O,O,N,O,O,O,O,N,N,O,O,O,O,O,O,2004
The Village,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,2004
The Polar Express,O,O,O,O,O,O,N,O,O,O,O,O,O,O,N,N,2004
The Phantom of the Opera,O,O,N,N,O,O,O,O,O,O,O,O,O,O,N,O,2004
Spider-Man 2,O,O,O,O,O,O,N,W,O,O,O,O,O,O,O,N,2004
A Very Long Engagement,O,O,N,N,O,O,O,O,O,O,O,O,O,O,O,O,2004
House of Flying Daggers,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,2004
Troy,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,2004
"I, Robot",O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,2004
Crash,O,O,O,O,O,N,W,O,O,O,W,N,O,W,N,O,2005
Brokeback Mountain,N,O,O,N,O,W,O,O,W,O,N,N,N,W,O,O,2005
Capote,W,O,O,O,O,N,O,O,O,O,N,O,N,N,O,O,2005
"Good Night, and Good Luck",N,O,N,N,O,N,O,O,O,O,N,O,O,N,O,O,2005
Munich,O,O,O,O,O,N,N,O,N,O,N,O,O,N,O,O,2005
Hustle & Flow,N,O,O,O,O,O,O,O,O,O,O,O,O,O,W,O,2005
Walk the Line,N,W,O,O,N,O,N,O,O,O,O,O,O,O,O,N,2005
Mrs Henderson Presents,O,N,O,O,N,O,O,O,O,O,O,O,O,O,O,O,2005
Transamerica,O,N,O,O,O,O,O,O,O,O,O,O,O,O,N,O,2005
Pride & Prejudice,O,N,N,O,N,O,O,O,N,O,O,O,O,O,O,O,2005
North Country,O,N,O,O,O,O,O,O,O,O,O,O,N,O,O,O,2005
Syriana,O,O,O,O,O,O,O,O,O,O,O,W,O,N,O,O,2005
Cinderella Man,O,O,O,O,O,O,N,O,O,N,O,N,O,O,O,O,2005
A History of Violence,O,O,O,O,O,O,O,O,O,O,O,N,O,N,O,O,2005
The Constant Gardener,O,O,O,O,O,O,N,O,N,O,O,O,W,N,O,O,2005
Junebug,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,2005
Match Point,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,2005
The Squid and the Whale,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,2005
Wallace & Gromit,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2005
Howl's Moving Castle,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Tim Burton's Corpse Bride,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Tsotsi,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2005
The Beast in the Heart,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Joyeux Noël,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Paradise Now,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Sophie Scholl  The Final Days,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
March of the Penguins,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2005
Darwin's Nightmare,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Enron: The Smartest Guys in the Room,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Murderball,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Street Fight,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
A Note of Triumph: The Golden Age of Norman Corwin,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2005
The Death of Kevin Carter: Casualty of the Bang Bang Club,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
God Sleeps in Rwanda,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
The Mushroom Club,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Six Shooter,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2005
Cashback,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
The Last Farm,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Our Time Is Up,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
The Runaway,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
The Moon and the Son: An Imagined Conversation,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2005
9,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Badgered,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
The Mysterious Geographic Explorations of Jasper Morello,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
One Man Band,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Memoirs of a Geisha,O,O,W,W,W,O,N,O,N,O,O,O,O,O,O,N,2005
King Kong,O,O,N,O,O,O,W,W,O,O,O,O,O,O,O,W,2005
War of the Worlds,O,O,O,O,O,O,N,N,O,O,O,O,O,O,O,N,2005
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",O,O,O,O,O,O,O,N,O,W,O,O,O,O,O,N,2005
Harry Potter and the Goblet of Fire,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,2005
Batman Begins,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,2005
The New World,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,2005
Star Wars: Episode III  Revenge of the Sith,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2005
Charlie and the Chocolate Factory,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,2005
The Departed,O,O,O,O,O,W,W,O,O,O,W,N,O,W,O,O,2006
Babel,O,O,O,O,O,N,N,O,W,O,N,O,N,N,O,O,2006
Letters from Iwo Jima,O,O,O,O,O,N,W,O,O,O,N,O,O,N,O,O,2006
Little Miss Sunshine,O,O,O,O,O,O,O,O,O,O,N,W,N,W,O,O,2006
The Queen,O,W,O,O,N,N,O,O,N,O,N,O,O,N,O,O,2006
United 93,O,O,O,O,O,N,N,O,O,O,O,O,O,O,O,O,2006
The Last King of Scotland,W,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2006
Blood Diamond,N,O,O,O,O,O,N,O,O,O,O,N,O,O,O,N,2006
Half Nelson,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2006
Venus,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2006
The Pursuit of Happyness,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2006
Volver,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2006
Notes on a Scandal,O,N,O,O,O,O,O,O,N,O,O,O,N,N,O,O,2006
The Devil Wears Prada,O,N,O,O,N,O,O,O,O,O,O,O,O,O,O,O,2006
Little Children,O,N,O,O,O,O,O,O,O,O,O,N,O,N,O,O,2006
Dreamgirls,O,O,N,O,N,O,O,O,O,O,O,N,W,O,N,W,2006
Pan's Labyrinth,O,O,W,W,O,O,O,O,N,W,O,O,O,N,O,O,2006
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,2006
Children of Men,O,O,O,N,O,O,N,O,O,O,O,O,O,N,O,O,2006
Happy Feet,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2006
Cars,O,O,O,O,O,O,O,O,O,N,O,O,O,O,N,O,2006
Monster House,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
The Lives of Others,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2006
After the Wedding,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
Days of Glory (Indigènes),O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
Water,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
An Inconvenient Truth,O,O,O,O,O,O,O,O,O,W,O,O,O,O,W,O,2006
Deliver Us from Evil,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
Iraq in Fragments,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
Jesus Camp,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
"My Country, My Country",O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
The Blood of Yingzhou District,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2006
Recycled Life,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
Rehearsing a Dream,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
Two Hands,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
West Bank Story,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2006
Binta and the Great Idea,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
Éramos Pocos (One Too Many),O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
Helmer & Son,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
The Saviour,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
The Danish Poet,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2006
Lifted,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
The Little Matchgirl,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
Maestro,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
No Time for Nuts,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
The Good German,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,2006
Apocalypto,O,O,O,O,O,O,N,O,O,N,O,O,O,O,O,N,2006
Flags of Our Fathers,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,N,2006
Pirates of the Caribbean: Dead Man's Chest,O,O,N,O,O,O,N,W,O,O,O,O,O,O,O,N,2006
The Good Shepherd,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,2006
The Prestige,O,O,N,N,O,O,O,O,O,O,O,O,O,O,O,O,2006
The Black Dahlia,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,2006
The Illusionist,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,O,2006
Click,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2006
Marie Antoinette,O,O,O,O,W,O,O,O,O,O,O,O,O,O,O,O,2006
Curse of the Golden Flower,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,2006
Poseidon,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,2006
Superman Returns,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,2006
No Country for Old Men,O,O,O,N,O,W,N,O,O,O,W,W,O,W,O,O,2007
Atonement,O,O,N,N,N,O,O,O,W,O,N,O,N,N,O,O,2007
Juno,O,N,O,O,O,N,O,O,O,O,N,O,O,W,O,O,2007
Michael Clayton,N,O,O,O,O,N,O,O,N,O,N,N,W,N,O,O,2007
There Will Be Blood,W,O,N,W,O,N,N,O,O,O,N,O,O,N,O,O,2007
The Diving Bell and the Butterfly,O,O,O,N,O,N,N,O,O,O,O,O,O,N,O,O,2007
Sweeney Todd: The Demon Barber of Fleet Street,N,O,W,O,N,O,O,O,O,O,O,O,O,O,O,O,2007
In the Valley of Elah,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2007
Eastern Promises,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2007
La Vie en Rose,O,W,O,O,N,O,O,O,O,W,O,O,O,O,O,O,2007
Elizabeth: The Golden Age,O,N,O,O,W,O,O,O,O,O,O,O,O,O,O,O,2007
Away from Her,O,N,O,O,O,O,O,O,O,O,O,O,O,N,O,O,2007
The Savages,O,N,O,O,O,O,O,O,O,O,O,O,O,N,O,O,2007
The Assassination of Jesse James by the Coward Robert Ford,O,O,O,N,O,O,O,O,O,O,O,N,O,O,O,O,2007
Charlie Wilson's War,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,2007
Into the Wild,O,O,O,O,O,O,N,O,O,O,O,N,O,O,O,O,2007
I'm Not There,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,2007
American Gangster,O,O,N,O,O,O,O,O,O,O,O,O,N,O,O,O,2007
Gone Baby Gone,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,2007
Lars and the Real Girl,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,2007
Ratatouille,O,O,O,O,O,O,N,O,N,W,O,O,O,N,O,N,2007
Persepolis,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Surf's Up,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
The Counterfeiters,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2007
12,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Beaufort,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Katyń,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Mongol,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Taxi to the Dark Side,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2007
No End in Sight,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Operation Homecoming: Writing the Wartime Experience,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Sicko,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
War/Dance,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Freeheld,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2007
La Corona,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Salim Baba,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Sari's Mother,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Le Mozart des Pickpockets (The Mozart of Pickpockets),O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2007
At Night,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
(Il Supplente) The Substitute,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Tanghi Argentini,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
The Tonto Woman,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Peter & the Wolf,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2007
Even Pigeons Go to Heaven (Même les pigeons vont au paradis),O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
I Met the Walrus,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Madame Tutli-Putli,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
My Love (Moya Lyubov),O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
3:10 to Yuma,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,N,2007
The Kite Runner,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,2007
Once,O,O,O,O,O,O,O,O,O,O,O,O,O,O,W,O,2007
Enchanted,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,2007
August Rush,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,2007
The Bourne Ultimatum,O,O,O,O,O,O,W,O,O,O,O,O,O,O,O,W,2007
No Country For Old Men,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,N,2007
Transformers,O,O,O,O,O,O,N,N,O,O,O,O,O,O,O,N,2007
The Golden Compass,O,O,N,O,O,O,O,W,O,O,O,O,O,O,O,O,2007
Norbit,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2007
Pirates of the Caribbean: At World's End,O,O,O,O,O,O,O,N,O,N,O,O,O,O,O,O,2007
Across the Universe,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,2007
Slumdog Millionaire,O,O,O,W,O,W,W,O,W,O,W,O,O,W,WN,W,2008
The Curious Case of Benjamin Button,N,O,W,N,N,N,N,W,N,W,N,O,N,N,O,N,2008
Frost/Nixon,N,O,O,O,O,N,N,O,O,O,N,O,O,N,O,O,2008
Milk,W,O,O,O,N,N,N,O,N,O,N,N,O,W,O,O,2008
The Reader,O,W,O,N,O,N,O,O,O,O,N,O,O,N,O,O,2008
The Visitor,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2008
The Wrestler,N,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,2008
Rachel Getting Married,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2008
Changeling,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,2008
Frozen River,O,N,O,O,O,O,O,O,O,O,O,O,O,N,O,O,2008
Doubt,O,N,O,O,O,O,O,O,O,O,O,N,N,N,O,O,2008
The Dark Knight,O,O,N,N,O,O,N,N,O,N,O,W,O,O,O,N,2008
Tropic Thunder,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,2008
Revolutionary Road,O,O,N,O,N,O,O,O,O,O,O,N,O,O,O,O,2008
Vicky Cristina Barcelona,O,O,O,O,O,O,O,O,O,O,O,O,W,O,O,O,2008
Happy-Go-Lucky,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,2008
In Bruges,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,2008
WALL-E,O,O,O,O,O,O,N,O,N,W,O,O,O,N,N,N,2008
Bolt,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Kung Fu Panda,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Departures,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2008
The Baader Meinhof Complex,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
The Class,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Revanche,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Waltz with Bashir,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Man on Wire,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2008
The Betrayal  Nerakhoon,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Encounters at the End of the World,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
The Garden,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Trouble the Water,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Smile Pinki,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2008
The Conscience of Nhem En,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
The Final Inch,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
The Witness: From the Balcony of Room 306,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Toyland,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2008
Manon on the Asphalt,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
New Boy,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
On the Line,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
The Pig,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
La Maison en Petits Cubes,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2008
Lavatory  Lovestory,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Oktapodi,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Presto,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
This Way Up,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Defiance,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,O,2008
Iron Man,O,O,O,O,O,O,N,N,O,O,O,O,O,O,O,O,2008
Wanted,O,O,O,O,O,O,N,O,O,O,O,O,O,O,O,N,2008
The Duchess,O,O,N,O,W,O,O,O,O,O,O,O,O,O,O,O,2008
Hellboy II: The Golden Army,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2008
Australia,O,O,O,O,N,O,O,O,O,O,O,O,O,O,O,O,2008
The Hurt Locker,N,O,O,N,O,W,W,O,N,O,W,O,O,W,O,W,2009
Avatar,O,O,W,W,O,N,N,W,N,O,N,O,O,O,O,N,2009
The Blind Side,O,W,O,O,O,O,O,O,O,O,N,O,O,O,O,O,2009
District 9,O,O,O,O,O,O,N,N,O,O,N,O,O,N,O,O,2009
An Education,O,N,O,O,O,O,O,O,O,O,N,O,O,N,O,O,2009
Inglourious Basterds,O,O,O,N,O,N,N,O,O,O,N,W,O,N,O,N,2009
Precious: Based on the Novel 'Push' by Sapphire,O,N,O,O,O,N,N,O,O,O,N,O,W,W,O,O,2009
A Serious Man,O,O,O,O,O,O,O,O,O,O,N,O,O,N,O,O,2009
Up,O,O,O,O,O,O,N,O,W,W,N,O,O,N,O,O,2009
Up in the Air,N,O,O,O,O,N,O,O,O,O,N,O,N,N,O,O,2009
Crazy Heart,W,O,O,O,O,O,O,O,O,O,O,O,N,O,W,O,2009
A Single Man,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2009
Invictus,N,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,2009
The Last Station,O,N,O,O,O,O,O,O,O,O,O,N,O,O,O,O,2009
Julie & Julia,O,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,2009
The Messenger,O,O,O,O,O,O,O,O,O,O,O,N,O,N,O,O,2009
The Lovely Bones,O,O,O,O,O,O,O,O,O,O,O,N,O,O,O,O,2009
Nine,O,O,N,O,N,O,O,O,O,O,O,O,N,O,N,O,2009
In the Loop,O,O,O,O,O,O,O,O,O,O,O,O,O,N,O,O,2009
Coraline,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2009
Fantastic Mr. Fox,O,O,O,O,O,O,O,O,N,N,O,O,O,O,O,O,2009
The Princess and the Frog,O,O,O,O,O,O,O,O,O,N,O,O,O,O,N,O,2009
The Secret of Kells,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2009
The Secret in Their Eyes,O,O,O,O,O,O,O,O,O,W,O,O,O,O,O,O,2009
Ajami,O,O,O,O,O,O,O,O,O,N,O,O,O,O,O,O,2009
